,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
91,Georgian Acres Neighborhood Park,3074,216,200,87,15,17,0,4.997,107,43,40,17,3,3,0,Georgian Acres Neighborhood Park,537
92,Gillis Neighborhood Park,2053,63,85,80,48,40,47,7.8,46,8,10,10,6,5,6,Gillis Neighborhood Park,365
93,Givens District Park,4652,257,215,152,131,72,45,41.43280472,21,6,5,3,3,1,1,Givens District Park,873
94,Goat Cave Karst Nature Preserve,3369,76,138,162,193,277,71,14.86917361,61,5,9,10,12,18,4,Goat Cave Karst Nature Preserve,919
95,Govalle Neighborhood Park,1889,37,16,32,23,13,9,26.314,5,1,0,1,0,0,0,Govalle Neighborhood Park,132
96,Gracywoods Neighborhood Park,4857,86,173,93,44,68,31,19.16894226,25,4,9,4,2,3,1,Gracywoods Neighborhood Park,497
97,Grand Meadow Neighborhood Park,2504,3,32,35,52,43,16,9.926,18,0,3,3,5,4,1,Grand Meadow Neighborhood Park,184
98,Great Hills Neighborhood Park,9715,395,705,484,526,617,531,76.05124007,42,5,9,6,6,8,6,Great Hills Neighborhood Park,3261
99,Gregg Hill Pocket Park,1789,13,12,23,5,15,22,1.51,61,8,8,15,3,10,14,Gregg Hill Pocket Park,92
100,Grey Rock Golf Course,7775,85,264,302,362,886,1613,296.9573,11,0,0,1,1,2,5,Grey Rock Golf Course,3514
101,Gullett School Park,1454,10,20,13,15,27,20,14.58,7,0,1,0,1,1,1,Gullett School Park,108
102,"Gustavo ""Gus"" L. Garcia District Park",7319,394,534,391,99,111,170,47.271,35,8,11,8,2,2,3,"Gustavo ""Gus"" L. Garcia District Park",1701
103,Hall/Goodnight Planting Strip,1022,22,28,8,2,33,16,1.229913,90,18,23,6,2,26,13,Hall/Goodnight Planting Strip,111
104,Hancock Golf Course,4878,429,344,252,120,168,290,51.83,30,8,6,4,2,3,5,Hancock Golf Course,1606
105,Harpers Branch Creek Greenbelt,11864,1219,1335,974,759,1104,920,1.6919,3731,720,789,575,448,652,544,Harpers Branch Creek Greenbelt,6313
106,Harris Branch Neighborhood Park,1758,3,6,10,9,16,8,10.01,5,0,0,1,0,1,0,Harris Branch Neighborhood Park,55
107,Harris Triangle,665,3,4,1,5,4,18,0.18,209,21,23,7,29,23,104,Harris Triangle,37
108,Hartford Planting Strip,1048,4,8,5,2,16,37,1.8588,40,2,4,3,1,9,20,Hartford Planting Strip,75
109,Hartford Triangle,1048,2,5,2,1,6,19,0.6,62,3,9,4,1,10,32,Hartford Triangle,37
110,Haskell House,1216,20,30,6,8,10,27,0.2405,430,86,125,25,35,42,115,Haskell House,103
111,Heath Eiland and Morgan Moss BMX Skate Park,5366,5,6,6,3,7,11,1.3186,31,4,5,5,2,5,8,Heath Eiland and Morgan Moss BMX Skate Park,41
112,Heritage Oaks Neighborhood Park,3236,144,143,78,36,34,18,3.527,129,41,40,22,10,9,5,Heritage Oaks Neighborhood Park,455
113,Hielscher Tract Greenbelt,8265,80,159,232,275,714,1250,66.58,40,1,2,3,4,10,18,Hielscher Tract Greenbelt,2712
114,Highland Neighborhood Park,2231,6,14,11,9,4,3,0.241,204,27,58,47,39,18,12,Highland Neighborhood Park,49
115,Hill School Park,1067,10,22,26,6,13,16,5.51,17,1,4,4,1,2,2,Hill School Park,95
116,Holly Shores at Town Lake Metro Park,3707,80,112,76,13,73,41,17.619,22,4,6,4,0,4,2,Holly Shores at Town Lake Metro Park,398
117,Houston School Park,1245,40,39,13,17,13,5,8.74,14,4,4,1,2,1,0,Houston School Park,129
118,Hubert C. Schroeter Neighborhood Park,2938,22,109,75,42,55,83,12.08,32,1,9,6,3,4,6,Hubert C. Schroeter Neighborhood Park,387
119,International Shores at Town Lake Metro Park,2594,43,119,79,79,167,45,6.06263555,88,7,19,13,13,27,7,International Shores at Town Lake Metro Park,534
120,J.J. Seabrook Greenbelt,8300,777,711,563,404,486,389,2.90116414,1149,268,245,194,139,167,134,J.J. Seabrook Greenbelt,3334
121,Janet Long Fish Park,2758,106,415,425,266,216,106,27.872,55,3,14,15,9,7,3,Janet Long Fish Park,1537
122,Jimmy Clay Golf Course,6456,288,508,371,273,125,110,203.11864411,8,1,2,1,1,0,0,Jimmy Clay Golf Course,1678
123,John Trevino Jr. Metro Park at Morrison Ranch,5283,156,285,226,199,168,55,330.22,3,0,0,0,0,0,0,John Trevino Jr. Metro Park at Morrison Ranch,1092
124,Joslin Neighborhood Park,3817,38,44,50,25,32,22,5.89,36,6,7,8,4,5,3,Joslin Neighborhood Park,214
125,Kealing School Park,1007,63,19,14,20,19,14,14.91436275,10,4,1,0,1,1,0,Kealing School Park,151
126,Kendra Page Neighborhood Park,2176,92,105,79,67,26,5,15.2491,24,6,6,5,4,1,0,Kendra Page Neighborhood Park,376
127,Kennemer Pool,2257,46,36,20,10,10,4,1.04,123,44,35,19,9,10,4,Kennemer Pool,128
128,Lakeline Neighborhood Park,2490,59,169,149,92,125,15,10.45,58,5,16,14,8,11,1,Lakeline Neighborhood Park,611
129,Lakeshore at Town Lake Metro Park,2118,71,64,35,10,54,22,3.28252585,78,21,19,10,3,16,6,Lakeshore at Town Lake Metro Park,259
130,Lamar Beach at Town Lake Metro Park,9953,278,320,404,231,334,450,65.40901382,30,4,4,6,3,5,6,Lamar Beach at Town Lake Metro Park,2018
131,Lamar Senior Activity Center,1504,46,11,2,9,1,5,1.876,40,24,6,1,4,0,2,Lamar Senior Activity Center,75
132,Latta Branch Greenbelt,20482,858,1762,1848,1781,2551,2153,126.41990405,86,6,13,14,14,20,17,Latta Branch Greenbelt,10956
133,Lawrence Street Pocket Park,1941,30,24,21,2,3,3,0.9854,86,30,24,22,2,3,3,Lawrence Street Pocket Park,85
134,Legend Oaks Neighborhood Park,1903,6,20,14,23,38,55,7.3,21,0,2,1,3,5,7,Legend Oaks Neighborhood Park,158
135,Little Stacy Neighborhood Park,2312,38,45,72,51,66,88,6.7793,53,5,6,10,7,9,12,Little Stacy Neighborhood Park,362
136,Little Walnut Creek Greenbelt,12004,1170,1137,708,542,404,249,205.806,20,5,5,3,2,1,1,Little Walnut Creek Greenbelt,4213
137,Little Zilker Neighborhood Park,2204,27,45,80,37,64,96,4.57,77,6,9,17,8,14,21,Little Zilker Neighborhood Park,352
138,Longhorn Shores at Town Lake Metro Park,1387,71,56,30,4,40,18,10.63606158,20,6,5,2,0,3,1,Longhorn Shores at Town Lake Metro Park,221
139,Longview Neighborhood Park,2604,18,30,60,42,42,3,20.056,9,0,1,3,2,2,0,Longview Neighborhood Park,198
140,Lott Pocket Park,876,25,7,6,8,8,6,1.12485569,55,22,7,5,7,7,5,Lott Pocket Park,62
141,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,265,1,11,18,17,11,3,290.6231989,0,0,0,0,0,0,0,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,62
142,Lower Bull Creek Greenbelt,10934,446,726,695,658,794,1595,115.454,42,3,6,6,5,6,13,Lower Bull Creek Greenbelt,4917
143,Lucy Read School Park,662,49,21,13,28,17,15,5.14,28,9,4,2,5,3,3,Lucy Read School Park,146
144,MLK Station Neighborhood Park,2093,87,57,57,52,87,28,7.917,47,11,7,7,6,11,3,MLK Station Neighborhood Park,372
145,Mabel Davis District Park,4243,358,687,379,195,95,52,53.97237583,32,6,12,7,3,1,0,Mabel Davis District Park,1769
146,Maggie Boatright Area of the Bull Creek Greenbelt,3297,20,43,38,51,66,368,8.986,65,2,4,4,5,7,40,Maggie Boatright Area of the Bull Creek Greenbelt,589
147,Manuel and Robert Donley Pocket Park,168,0,4,6,0,2,1,0.3883,40,1,10,15,1,6,5,Manuel and Robert Donley Pocket Park,15
148,Marble Creek Greenbelt,4898,94,229,268,244,235,91,105.78,11,0,2,2,2,2,0,Marble Creek Greenbelt,1163
149,Marble Creek Neighborhood Park,3743,3,11,15,13,13,5,8.511,7,0,1,1,1,1,0,Marble Creek Neighborhood Park,63
150,Margaret Hoffman Oak Park,3324,5,5,7,5,13,25,0.2208668,281,23,26,32,24,58,115,Margaret Hoffman Oak Park,62
151,Mary Dawson Pocket Park,2502,14,5,9,5,16,13,0.92,70,15,5,9,6,18,14,Mary Dawson Pocket Park,64
152,Mary Frances Baylor Clarksville Pocket Park,1667,30,41,5,4,6,23,1.48911304,75,20,28,3,3,4,15,Mary Frances Baylor Clarksville Pocket Park,111
153,Mary Moore Searight Metro Park,14349,808,1505,1383,1190,1344,495,342.65952,19,2,4,4,3,3,1,Mary Moore Searight Metro Park,6728
154,Mayfield Park,2854,17,22,8,21,25,111,23.331,8,0,0,0,0,1,4,Mayfield Park,207
155,Meadowview Triangle,904,6,17,31,6,11,9,0.41758451,198,14,42,75,14,28,22,Meadowview Triangle,82
156,Metz Neighborhood Park,1464,15,49,32,5,29,14,6.54525012,22,2,7,4,0,4,2,Metz Neighborhood Park,146
157,Michael Butler Park at Town Lake Metro Park,7827,37,40,54,33,58,63,20.299373,14,1,1,2,1,2,3,Michael Butler Park at Town Lake Metro Park,288
158,Michael Butler Shores at Town Lake Metro Park,5671,41,56,102,64,93,121,28.65,16,1,1,3,2,3,4,Michael Butler Shores at Town Lake Metro Park,480
159,Millennium Center,852,71,39,18,2,6,10,5.5415,26,12,7,3,0,1,1,Millennium Center,147
160,Montopolis Neighborhood Park,1282,189,15,50,51,31,19,7.61,47,24,2,6,6,4,2,Montopolis Neighborhood Park,358
161,Montopolis Practice Fields,2427,92,75,61,10,13,9,4.11,63,22,18,14,2,3,2,Montopolis Practice Fields,262
162,Morris Williams Golf Course,5250,345,311,239,175,155,163,187.793,7,1,1,1,0,0,0,Morris Williams Golf Course,1391
163,Mountain View Neighborhood Park,1163,3,6,4,13,15,78,8.273,14,0,0,0,1,1,9,Mountain View Neighborhood Park,123
164,Murchison Pool,2354,14,19,9,8,10,11,1.15,65,12,16,8,7,9,10,Murchison Pool,75
165,Musket Valley Neighborhood Park,5147,21,32,46,19,27,16,15.91,10,1,2,2,1,1,1,Musket Valley Neighborhood Park,164
166,Nicholas Dawson Neighborhood Park,2301,35,45,50,22,48,41,3.1977,76,11,14,15,7,15,13,Nicholas Dawson Neighborhood Park,245
167,Norman School Park,1040,21,10,7,8,3,0,6.9,7,3,1,1,1,0,0,Norman School Park,51
168,North Acres Greenbelt,12178,1237,1527,900,244,328,284,2.456,1840,503,621,366,99,133,115,North Acres Greenbelt,4521
169,North Cat Mountain Greenbelt,10285,216,362,437,342,624,1464,30.71661354,112,7,11,14,11,20,47,North Cat Mountain Greenbelt,3447
170,North Oaks Neighbohood Park,1515,42,62,36,47,33,33,4.616,55,9,13,7,10,7,7,North Oaks Neighbohood Park,255
171,North Star Greenbelt,10354,804,1534,1260,711,881,413,17.61856003,318,45,87,71,40,50,23,North Star Greenbelt,5605
172,Northern Walnut Creek Greenbelt,44300,3246,5651,5545,3141,3337,1801,387.40866616,58,8,14,14,8,8,4,Northern Walnut Creek Greenbelt,22723
173,Northwest Balcones Neighborhood Park,1844,2,19,9,23,29,64,7.17204959,20,0,2,1,3,4,9,Northwest Balcones Neighborhood Park,148
174,Northwest Recreation Center,1883,11,16,23,21,29,54,6.66585983,23,1,2,3,3,4,8,Northwest Recreation Center,156
175,Norwood Tract at Town Lake Metro Park,4800,76,76,74,50,117,127,9.52917438,54,7,8,7,5,12,13,Norwood Tract at Town Lake Metro Park,523
176,Oak Springs School Park,1485,29,27,15,5,6,5,6.13,14,4,4,2,0,1,0,Oak Springs School Park,90
177,Oak View Neighborhood Park,1753,14,21,16,26,59,118,6.975217,36,2,3,2,3,8,17,Oak View Neighborhood Park,256
178,Oakhill Neighborhood Park,2435,5,6,15,13,28,54,14.495,8,0,0,1,0,1,3,Oakhill Neighborhood Park,123
179,Odom School Park,2565,40,39,36,18,15,8,4.3,36,9,9,8,4,3,1,Odom School Park,158
180,Oertli Neighborhood Park,3325,10,26,29,16,25,7,6.0,19,1,4,4,2,4,1,Oertli Neighborhood Park,115
181,Old Bakery and Emporium,3180,6,6,8,6,14,28,0.31203828,224,20,22,26,19,46,89,Old Bakery and Emporium,70
182,Old San Antonio District Park,1959,0,0,0,0,0,0,57.683,0,0,0,0,0,0,0,Old San Antonio District Park,0
183,Old San Antonio Greenbelt,5251,143,323,222,316,413,179,28.33,56,5,11,7,11,14,6,Old San Antonio Greenbelt,1599
184,Onion Creek Greenbelt,13861,1076,1624,1472,1128,714,296,235.65838265,26,4,6,6,4,3,1,Onion Creek Greenbelt,6312
185,Onion Creek Metro Park,11558,676,1150,1057,1002,624,285,517.312,9,1,2,2,1,1,0,Onion Creek Metro Park,4797
186,Onion Creek Soccer Complex,3514,34,40,45,32,16,7,112.46,1,0,0,0,0,0,0,Onion Creek Soccer Complex,177
187,Onion Creek Wildlife Sanctuary,482,40,31,33,9,21,16,180.0,0,0,0,0,0,0,0,Onion Creek Wildlife Sanctuary,152
188,Ortega School Park,1449,18,24,13,8,5,8,4.23478002,18,4,5,3,2,1,1,Ortega School Park,79
189,Palma Plaza Pocket Park,1191,15,25,9,15,17,41,0.2066,609,76,125,44,73,86,203,Palma Plaza Pocket Park,125
190,Pan American Neighborhood Park,2394,109,77,43,14,30,21,5.22503385,56,20,14,8,2,5,4,Pan American Neighborhood Park,297
191,Parque Zaragoza Neighborhood Park,2698,59,78,64,21,42,28,15.273,19,3,5,4,1,2,1,Parque Zaragoza Neighborhood Park,293
192,Pastor Edward Clarence Craig Jr. Neighborhood Park,1586,129,117,53,20,8,3,5.3,62,24,22,10,3,1,0,Pastor Edward Clarence Craig Jr. Neighborhood Park,333
193,Patterson Neighborhood Park,3039,47,34,49,24,41,49,9.29,26,5,3,5,2,4,5,Patterson Neighborhood Park,246
194,Payton Gin Pocket Park,3856,46,46,24,7,12,3,0.9709,144,47,47,25,7,13,3,Payton Gin Pocket Park,140
195,Peace Point at Town Lake Metro Park,1740,69,99,63,35,105,37,5.46668977,75,12,18,11,6,19,6,Peace Point at Town Lake Metro Park,411
196,Pease District Park,8916,709,290,175,143,194,407,42.68088432,44,16,6,4,3,4,9,Pease District Park,1920
197,Pecan Springs School Park,779,37,29,9,7,5,5,4.55,21,8,6,1,1,1,1,Pecan Springs School Park,95
198,Perry Neighborhood Park,1583,2,7,22,4,16,80,10.3933043,12,0,0,2,0,1,7,Perry Neighborhood Park,134
